OlpyplEJ_c_hFxyand_Wxw,"['Szechuan', 'Asian Fusion', 'Chinese', 'Restaurants']"
ocdbrssU5Xot7PL3MzqAYw,"['Food', 'Delis', 'Coffee & Tea', 'Restaurants']"
QzC9ePNTrJ5QQwehsmMAWA,"['Mexican', 'Restaurants']"
gmnI9E8l9ZmqErrBeg88jA,"['Mexican', 'Restaurants']"
i7HvZ1yTTIaR6bfa_3jGEw,"['Fast Food', 'Chicken Wings', 'Restaurants']"
9DsXB8T3UwBYiLPiLJJuNQ,"['Nightlife', 'American (Traditional)', 'Karaoke', 'Bars', 'Restaurants']"
rUQfZOengMpXFkLvJrNJ3g,"['Food', 'Tea Rooms', 'Breakfast & Brunch', 'Bed & Breakfast', 'Hotels & Travel', 'Restaurants']"
zFbQ-8AvAIM1tQoqIh_sew,"['Fast Food', 'Restaurants']"
oU968d4WjL0dgk_8qq5BXw,"['Fast Food', 'Restaurants']"
0lQDOFqEVB1LQhkS2kN1RA,"['Breakfast & Brunch', 'Restaurants']"
gXkv-2CPQFs1iggbftTl_g,"['Bars', 'American (Traditional)', 'Nightlife', 'Restaurants']"
kx0P3BmdL7GUxjsGQnm7pg,"['Seafood', 'Restaurants']"
S2x-rEziU3ONR9zO_vpPxA,"['Soup', 'Sandwiches', 'Salad', 'Restaurants']"
ECWSOvqjPP8IVuTs_BM8bQ,"['Chinese', 'Restaurants']"
XjvhtBnGVEHeB-jzRrE7Fg,"['German', 'Restaurants']"
PF_L0dY7Ad76BleQ6Hc7Qg,"['Sushi Bars', 'Japanese', 'Restaurants']"
hlME5-P2CudNDCUSIX2cxQ,"['Greek', 'Restaurants']"
O6fEzyH0fRP7r8IbSnCgoA,"['Chinese', 'Restaurants']"
I34mPToWNbOedyvIyZ5imQ,"['Sandwiches', 'Pizza', 'Chicken Wings', 'Restaurants']"
VZ3A1pVQFwzNGnsNEz3FiQ,"['Steakhouses', 'Restaurants']"
ZF58mOM_ACiIhmwr8s_G1w,"['Restaurants', 'Pizza', 'Italian']"
tC04i64a3nKCcvrnDpbT3A,"['Delis', 'Restaurants']"
6epFZlKmaLWQV0ANzyGf6g,"['Ramen', 'Japanese', 'Restaurants']"
aTMDGTQpHVzUY2VxBy4i8A,"['American (Traditional)', 'American (New)', 'Restaurants']"
Rck6ZPLpkIdmQvDPRiNEpA,"['Food', 'Ethnic Food', 'Restaurants', 'Asian Fusion', 'Specialty Food']"
Bh5vHCVBOzaNAM-R4WLNcw,"['Lebanese', 'Middle Eastern', 'Restaurants']"
JGmh01QWBJ6aOHB_TAMp1Q,"['Greek', 'Restaurants']"
usjNCe_fdI4CbKbZCOKy8w,"['Food', 'Burgers', 'Beer, Wine & Spirits', 'Restaurants']"
mv1gFZ8FYsFIOTENKhXddw,"['Pizza', 'Restaurants']"
s_w8ohbsVOevvnis4OZojw,"['Buffets', 'Japanese', 'Chinese', 'Restaurants']"
JU-y40a_2XjhBe_G5jnSAg,"['Mexican', 'Restaurants']"
1vQLTKwmcmZXtNzfKEvMmA,"['Sushi Bars', 'Japanese', 'Restaurants']"
IgzJjFDZX4h71wG-fAVg7A,"['Breakfast & Brunch', 'Restaurants']"
fphcaoXU9ywS5t3zEqYyvA,"['Breakfast & Brunch', 'American (Traditional)', 'Restaurants']"
xWnS17JRqB2Cjdgfncnnng,"['Gluten-Free', 'Pizza', 'Salad', 'Restaurants']"
bgnPqytdYaNgHjDhrozjdQ,"['Bars', 'American (Traditional)', 'Burgers', 'Nightlife', 'Sports Bars', 'Restaurants']"
x-S7Nooy3jiKChpR00mVWw,"['Bakeries', 'Food', 'Cafes', 'Restaurants']"
epUeIG4o7yphmcOU0qIqOg,"['Pizza', 'Restaurants']"
2bFrNEhlNjFA7aqJyYBXmw,"['Seafood', 'American (Traditional)', 'Restaurants']"
vFOgPc3Ib5wzejPhGqxM4Q,"['German', 'Breweries', 'Venues & Event Spaces', 'Food', 'Event Planning & Services', 'Restaurants']"
JUr34w08NZz2I3GYenPgiQ,"['American (Traditional)', 'Cafes', 'Restaurants']"
QdOCSKROozmhBKfxujWL9A,"['Vegetarian', 'American (New)', 'Gluten-Free', 'Restaurants']"
teuMyRZIPurYkSLMCEzLyw,"['American (New)', 'Restaurants']"
ZWuO-YghNqtcAO7Ar-MFEg,"['Cheesesteaks', 'Fast Food', 'Sandwiches', 'Restaurants']"
VToMv6ukjQv3KMOXAO30TQ,"['Mexican', 'Restaurants']"
_ql42UadWUh9SgU09_c2mQ,"['Gluten-Free', 'Asian Fusion', 'Chinese', 'Restaurants']"
JseijIHxisw_VhevGsin_A,"['Fast Food', 'Restaurants']"
95sQlDylaJ21U6iEl_MEXQ,"['Chinese', 'Restaurants']"
jrdHGw8QnY865M-CUOn0xQ,"['Japanese', 'Hawaiian', 'Restaurants']"
Y3a3RkR97J_ReiKgiMXeJg,"['Breakfast & Brunch', 'Restaurants']"
1Uooxjw1yWQZYJw3QBUxAA,"['Lebanese', 'Middle Eastern', 'Restaurants']"
WCorga9tk_SayxbZbP7Hvg,"['Burgers', 'Fast Food', 'Restaurants']"
vAlOW7SPS1ZFkDHec-w_VA,"['Seafood', 'Southern', 'Chicken Wings', 'Restaurants']"
WvZU5CF7jnBfsS5ah6sp1Q,"['Portuguese', 'Restaurants']"
cwyq1QIa4fNISUap4PCs_A,"['Chinese', 'Restaurants']"
-r5aq7vjN6lMFDZ4XYErkQ,"['Restaurants', 'Pool Halls', 'Nightlife', 'Italian']"
DnZkFbDjnts5ABUUA9QuVg,"['Southern', 'Restaurants']"
p3X7T5qvZ7YYBYHl8LN6Vw,"['Sushi Bars', 'Chinese', 'Restaurants']"
6Gy2p4w5Vo9ECuzappvd0Q,"['Sandwiches', 'Restaurants']"
orRtROuWoOZWKdfgzgFXJA,"['Chinese', 'Restaurants']"
VYCbveCk-j4UR_aSTuASJA,"['Arts & Entertainment', 'American (Traditional)', 'Bars', 'Pubs', 'Casinos', 'Nightlife', 'Restaurants']"
4pBklPWQZSeuj5xynAEOYg,"['Mexican', 'Restaurants']"
qC6ZqST6Q58qXHsDAjM_5w,"['Mediterranean', 'Restaurants']"
e5ri6gZgqYNe37uXGtmetg,"['Peruvian', 'Restaurants']"
E0Gi93pSbrJVnQcV8JE8RQ,"['Burgers', 'Restaurants', 'Pizza', 'Italian']"
OjH29mVdEr4SXOdp-eLGfQ,"['Food', 'Latin American', 'Food Trucks', 'Restaurants']"
hcFlvyDQq-1izciN8bxCQA,"['Chinese', 'Restaurants']"
xWUQak48XdNZ4ZlkaI4zng,"['Venezuelan', 'Latin American', 'Restaurants']"
LOPMHLVMH1nsBaMMshenlA,"['Burgers', 'Restaurants']"
fQ1h3WSy3kKAsM7NKtFnnQ,"['Bakeries', 'Food', 'Chinese', 'Restaurants']"
CerkxisjSGi809UuT3cGUw,"['Restaurants', 'Italian']"
l184ekbNhRbhoG-yuCgSAA,"['Food', 'Tea Rooms', 'Taiwanese', 'Restaurants']"
wWvInCI38F80lqLvnW26hg,"['Mexican', 'Restaurants']"
GwsLyeBlPodk1MFjS-XHJA,"['Greek', 'Mediterranean', 'Restaurants']"
guD6--j7BIeqcFW_IUFbgw,"['Mexican', 'Restaurants']"
RQ5Fe5XMJokYJaBkP-i4jA,"['Delis', 'Sandwiches', 'Restaurants']"
G1z1baf8WcWfj21fsJo8vg,"['Fast Food', 'Sandwiches', 'Restaurants']"
YbqNbrnOEk2T0qIBbTivuQ,"['Soul Food', 'Southern', 'Restaurants']"
pNNiVpYRjGOldveDMVrXMQ,"['Sushi Bars', 'Japanese', 'Gluten-Free', 'Restaurants']"
pP2sl_Rn-3HQ7vUCy6eZ8w,['Restaurants']
xYy7bxBqIK9YGr9HXfpNkw,"['Bars', 'Seafood', 'Cocktail Bars', 'Nightlife', 'Steakhouses', 'Restaurants']"
tDbXsDOecrv46J7YR2-FNw,"['Restaurants', 'Italian']"
5hSOoDzMy-N5mQ3l9AbKvw,"['Hot Dogs', 'Restaurants']"
syfCpXqRXeL4tyokKx6JJw,"['Indian', 'Restaurants']"
eHD1iu4B5yd_wj_uiSapzQ,"['Sushi Bars', 'Japanese', 'Restaurants']"
_EUbTaB4OUWoIcC6wc8_8g,"['Pizza', 'Restaurants']"
D-M0GgCnQEpLfwEgDquVAg,"['Fish & Chips', 'Restaurants']"
-hv-qqymMDYlpszOzJ2RXw,"['Beer Gardens', 'Food', 'Beer, Wine & Spirits', 'Nightlife', 'American (New)', 'Restaurants']"
jRfdz5voj40P6WS9L54caw,"['American (New)', 'Sandwiches', 'Restaurants']"
oly8HWl0MtuioFWKPINIFg,"['American (Traditional)', 'Comfort Food', 'Restaurants']"
IeYRnFUquMjehUTwXsZ5Vg,"['Nightlife', 'Bars', 'American (Traditional)', 'Sports Bars', 'Restaurants']"
R13Yzsye39_1StxO0X1Flg,"['American (New)', 'Restaurants']"
BSlmhfVEsy16C_ZUpcyB8w,"['Delis', 'Sandwiches', 'Restaurants']"
yQoBnikspv_r4Te7SfzlOw,"['Pizza', 'Restaurants']"
slndywABScVDVUZYBS56lQ,"['Restaurants', 'Italian']"
8Gmjirpg6V_a2u0K4In6Iw,"['Seafood', 'American (Traditional)', 'Restaurants']"
MQsMlsL6J3V25ssYzHQehw,"['Bars', 'Nightlife', 'Gastropubs', 'American (New)', 'Sports Bars', 'Restaurants']"
zWmMse__At85rO_ivLcpXA,"['Food', 'Breakfast & Brunch', 'Coffee & Tea', 'Restaurants']"
1yxoQFeyux1Ig3qqCWKzGA,"['Mexican', 'Restaurants']"
xsSnuGCCJD4OgWnOZ0zB4A,"['Bars', 'American (Traditional)', 'Pubs', 'Nightlife', 'Barbeque', 'Restaurants']"
OAXWfsklsATjpui2C8HilQ,"['Caterers', 'Pizza', 'Event Planning & Services', 'Restaurants']"
n3Ov26PBvLJQChYdP1WtfA,"['Soul Food', 'Middle Eastern', 'Restaurants']"
vdOhxFYPHbCg93iZoTkfnA,"['Latin American', 'Salvadoran', 'Restaurants']"
tUR9-c9y5J1KA8vi-CX-nQ,"['Burgers', 'Fast Food', 'Restaurants']"
_8tGPxBYb4aq3fuhOePTgw,"['Chinese', 'Restaurants']"
drrQIOQfEwv29L8B6E5_UQ,"['Barbeque', 'Restaurants']"
BwdMlO7QPHBnm09yuHTnRw,"['Mexican', 'Restaurants']"
JSOaQOtDtG2Ce44tCsKEUw,"['Food', 'Desserts', 'Vegetarian', 'Cafes', 'Restaurants']"
c9-zh9b1V-wvxFgicsT7-Q,"['Modern European', 'French', 'Restaurants']"
-pmmu39MjTD0ht6Jjf-gmw,"['Gluten-Free', 'Pizza', 'Salad', 'Restaurants']"
_ji6oh2RwfOOt0jMznT5wg,"['Food', 'Desserts', 'Creperies', 'Restaurants']"
KVq-1WEJNKK2NqFC7nUoRg,"['Mexican', 'Restaurants']"
kdwGeJlYwmqt9X49IG49mQ,"['Restaurants', 'Italian']"
RQ_QaWi1Cc4X6odfGuUGcA,"['Chinese', 'Restaurants']"
7LLKX5vYeItO7kBfbCnl5g,"['Mexican', 'Restaurants']"
cg7Pys3TqUBkmXryzGN1Ww,"['Hot Dogs', 'Restaurants']"
vFJmFFfPVhHkC3bWOeZnNA,"['Bars', 'American (Traditional)', 'Pubs', 'Nightlife', 'Sports Bars', 'Restaurants']"
CzA4kOvd0rZU5i8nC5GvXg,"['Lebanese', 'Middle Eastern', 'Restaurants']"
FbWwugp1EWRYBv76Wd3BEg,"['Cafes', 'Restaurants']"
Q4D5Zre41GBU8Nu0hq8vQw,"['French', 'Restaurants']"
Gq7CbG8Gw4lGixXKIACB5g,"['Food', 'Coffee & Tea', 'Sandwiches', 'Restaurants']"
BL3SqCfSJuDTNDR9_b9NdQ,"['Sushi Bars', 'Restaurants']"
q34vLVEbHPzS0ZUC8XGsVw,"['Seafood', 'Restaurants']"
GmzpzmxinfLMw5OXQKFEBQ,"['Barbeque', 'Restaurants']"
bdTzNQ18wfPbyiXHJKL1dg,"['Korean', 'Japanese', 'Barbeque', 'Restaurants']"
lut0g04VsYRyblR1Ad-8HA,"['Gluten-Free', 'Asian Fusion', 'Chinese', 'Restaurants']"
n9iOBTyrgFRE4WT1Lq_wAA,"['Vegetarian', 'Indian', 'Vegan', 'Restaurants']"
0T0CX-ILJEOuEJnNi1Lu3A,"['Pizza', 'Restaurants']"
e_eY2EmXhno4qwsZVkWq-Q,"['Mexican', 'Restaurants']"
5vKdGeias7HTd3o6qojDFQ,"['American (Traditional)', 'Mexican', 'Diners', 'Restaurants']"
XpNxXmqBKZE5ZHaI-ZgAmw,"['Food', 'Specialty Food', 'Restaurants', 'Meat Shops', 'Sandwiches']"
4kSntr5xn8tAnodmTKevbg,"['Sandwiches', 'Restaurants', 'Pizza', 'Italian']"
qnKX52X6N9tp5qcK3QankA,"['Dry Cleaning & Laundry', 'Food', 'Local Services', 'Convenience Stores', 'Korean', 'Restaurants']"
JoqrcQuzD3yEvs9KvN82ag,"['Burgers', 'Fast Food', 'Restaurants']"
BzvSlUIwB08C-1GK93mQbg,"['Food', 'Specialty Food', 'Mexican', 'Seafood Markets', 'Restaurants']"
9Y5kXneSwv-l-8TODZWQAQ,"['Fast Food', 'Mexican', 'Tex-Mex', 'Restaurants']"
0R5W3JfCKW_DT6szm-826A,"['American (Traditional)', 'Restaurants']"
yZiV6fBKOuD7vX0NhpNDjQ,"['Gastropubs', 'British', 'Restaurants']"
guCjJhxjlajTJ0rNhFp98Q,"['French', 'Restaurants']"
aUA-yxgPFHt-WeL722n68g,"['Chicken Wings', 'Restaurants']"
7y2Fgu5sdYQrzuJxatXMNg,"['Chicken Wings', 'Restaurants']"
GYbCN7JrNHnjhjAIrwrrqw,"['Greek', 'Restaurants']"
gkwzvaYWC7LODxDw1yY0Dw,"['Food', 'Juice Bars & Smoothies', 'Restaurants', 'Cafes']"
vdWTm_hVFdt5s8Ca1Xyddw,"['Fast Food', 'Chicken Wings', 'Restaurants']"
4nWKKGZGFc4nWUbJTunMAw,"['Seafood', 'Chinese', 'Restaurants']"
-g0zVR9LswlUud9m1eFuUQ,"['Food', 'Coffee & Tea', 'Creperies', 'Restaurants']"
JKyWiuPDVJS4hUx-EPAXAA,"['Wine Bars', 'Bars', 'Restaurants', 'Nightlife', 'Italian']"
mtQHSFxx35emKstqMxp9Cw,"['Pakistani', 'Vegetarian', 'Indian', 'Restaurants']"
MEraJIKYztC7IOzYwMe86g,"['Restaurants', 'Pizza', 'Italian']"
CaAkTpmdj-IODoCcJ9eE3g,"['Sushi Bars', 'Japanese', 'Restaurants']"
hizgH5Mxsh0mnfFeMqlOKA,"['Burgers', 'Breakfast & Brunch', 'Restaurants']"
OU6yfyuCzwJZvZFRnTOZzg,"['Seafood', 'Restaurants']"
hOgRm57WFD_6fA5ZeiCiWg,"['Mexican', 'Restaurants']"
e5HRYpEIkyrKNR6yA2rnqQ,"['Breakfast & Brunch', 'Diners', 'Restaurants']"
rXLHlQP_ogFsa1JhHLhkEg,"['Thai', 'Sushi Bars', 'Chinese', 'Restaurants']"
7z6y1xm-8UNo35YoDFnpHQ,"['Burgers', 'Restaurants']"
LINlXPAeUagT_UL2lCcH0A,"['Salad', 'Health Markets', 'Specialty Food', 'Food', 'Gluten-Free', 'Restaurants']"
pk0jgRXdYizGpq6OflwQOA,"['Fast Food', 'Mexican', 'Tex-Mex', 'Restaurants']"
pTq4MBQ0tvLB9FExhXZKGg,"['Middle Eastern', 'Restaurants']"
gZ3GVh4aER2q6_UdA6fTKw,"['Arts & Entertainment', 'Music Venues', 'Cafes', 'Bars', 'Nightlife', 'Restaurants']"
M_AvyTDpBCp2f-ON_20JaQ,"['Asian Fusion', 'Restaurants']"
OJv3-pdokbqhowMmZaeHCg,"['French', 'Restaurants']"
0bvEdXuzPhZ_MuGA5KjPkA,"['Pizza', 'Restaurants']"
PwXG1AyaHQ6QZ6nhn86tVQ,"['Diners', 'Restaurants']"
eR7cwYFZDkNqBSSTohNwLw,"['Vietnamese', 'Thai', 'Asian Fusion', 'Restaurants']"
uJAhZq0-M9QFdYkaDH8kbQ,"['Mexican', 'Restaurants']"
f5qS9i2GayB_379LTNNErg,"['Cafes', 'Restaurants']"
-yG3x9Xuv7PX1QSslZiWnQ,"['Pizza', 'Restaurants']"
OoflKXY2YUso9tlSjHKiqg,"['Fast Food', 'Mexican', 'Tex-Mex', 'Restaurants']"
_ED-tcE-bsR7oFYWZwvUAQ,"['Basque', 'Tapas/Small Plates', 'Spanish', 'Restaurants']"
pWB-Flp4QHo7dJkMm7_Sjw,"['Thai', 'Chinese', 'Restaurants']"
sKNqTICN-nyn5hRNmPO8tQ,"['Mexican', 'Restaurants']"
gmSPwjUcZ5yxIuJzJnpl8A,"['Chicken Wings', 'Restaurants']"
NjHwPn2d3TL_xxnheXoSmw,"['Pubs', 'Irish', 'Nightlife', 'Bars', 'Restaurants']"
tHw376pyGkJp1-fvW12oZA,"['Barbeque', 'Restaurants']"
xWMpfDxekTi383LmhmWblA,"['Food', 'Ice Cream & Frozen Yogurt', 'Pizza', 'Chicken Wings', 'Restaurants']"
fuhjVvhkQ22j92BTGHEX7A,"['Burgers', 'Bars', 'American (Traditional)', 'Nightlife', 'Restaurants']"
NOuSa7Yy4yHYKDD0rNod9Q,"['Burgers', 'American (New)', 'Restaurants']"
d_8bMNQd0mesbEUeq1U2kQ,"['Pakistani', 'Indian', 'Buffets', 'Restaurants']"
_GWuXjPNBnO56OaT_daPZQ,"['Bars', 'Seafood', 'Nightlife', 'Beer Bar', 'Italian', 'Restaurants']"
