OlpyplEJ_c_hFxyand_Wxw,"['Szechuan', 'Asian Fusion', 'Chinese', 'Restaurants']"
_PSo13KRX_X7FQR5mtUCug,"['Buffets', 'Chinese', 'Restaurants']"
A6lYAXeojy1g_l8wr-zzCQ,"['Chinese', 'Restaurants']"
O2ZJBS7uqGA0kGDr3-VgGA,"['Fast Food', 'Chinese', 'Restaurants']"
Ixu4O1GaIcpkJ5stkfgXhA,"['Taiwanese', 'Chinese', 'Restaurants']"
VCGyfZMhaCNUnYTK-ihvXQ,"['Chinese', 'Restaurants']"
bulkC_6uGn5FM0vz3Kt0ZQ,"['Sushi Bars', 'Chinese', 'Restaurants']"
SzCMZ664veIZpYp4Tk84Hg,"['Chinese', 'Restaurants']"
BERAahmQiAF9wpxZDtvk_g,"['Chinese', 'Restaurants']"
Pv1H9KIGZTDgSaCDuTUjdQ,"['Chinese', 'Restaurants']"
B7txe-1iQs1A2rmFMJ8uug,"['Sushi Bars', 'Chinese', 'Restaurants']"
BLVGxzJMxu8SKM_ZoEonPw,"['Chinese', 'Restaurants']"
C2Q4Eogai7W4grmvXZFmBw,"['Chinese', 'Restaurants']"
P3xS91E0LhCFmzrd9Enw_A,"['Chinese', 'Restaurants']"
7GFa4xiQ7PNxYrIU4Iq_RQ,"['Fast Food', 'Chinese', 'Restaurants']"
vJStjloE8hsI94Bc9ucbSA,"['Buffets', 'Chinese', 'Restaurants']"
boxOMuEguLds_KImannFAw,"['Fast Food', 'Chinese', 'Restaurants']"
0QYucq-OkyThZzGdhONSHw,"['Chinese', 'Restaurants']"
uEWNDYYV7yJMB3xPUdQ7vA,"['Chinese', 'Restaurants']"
0lWQSXID3T7K3DbjX7CpqQ,"['Chinese', 'Restaurants']"
ekRwCkp1nS1hsbXLAOiPzw,"['Fast Food', 'Chinese', 'Restaurants']"
xcOncADGPr9eki8OU5Ln7g,"['Gluten-Free', 'Asian Fusion', 'Chinese', 'Restaurants']"
jRRXj-_BhNvmxG8I568uKg,"['Chinese', 'Restaurants']"
-LpHtjfDuVqwBXJUOXwqbA,"['Chinese', 'Restaurants']"
oFjwJO4W5uf2o1jPVR7AeQ,"['Fast Food', 'Chinese', 'Restaurants']"
k0DX49H64OFl89rkIi9MtA,"['Szechuan', 'Chinese', 'Restaurants']"
4nWKKGZGFc4nWUbJTunMAw,"['Seafood', 'Chinese', 'Restaurants']"
7Yr8FRINq9ZDdR30OLtEHg,"['Chinese', 'Restaurants']"
xhwp_bACX0017Qxu8_AVbw,"['Chinese', 'Restaurants']"
Mog8cxUbSs5DJ-4nGczi_Q,"['Korean', 'Chinese', 'Restaurants']"
SWSZdo4sBhrcQSmN5e1myg,"['Chinese', 'Restaurants']"
BkO-H4_A8NhXz912nI148Q,"['Taiwanese', 'Chinese', 'Restaurants']"
eGb0dnTT5mQA8BDYZUveLQ,"['Steakhouses', 'Italian', 'Japanese', 'Chinese', 'Restaurants']"
INZhYI1ffww8KztB-shHuQ,"['Chinese', 'Restaurants']"
NaXqRvoW2Zg2wSghf9JqaA,"['Chinese', 'Restaurants']"
qlbwd2A2E6PMpL2sK2TxAA,"['Taiwanese', 'Chinese', 'Restaurants']"
FTLOCnLMl1Jeo8uIICLf3g,"['Chinese', 'Restaurants']"
SEw0_YFjXtRc1pQ0I5HLCw,"['Thai', 'Chinese', 'Restaurants']"
sMD2HPNh7m0hgCxHDzGTzQ,"['Buffets', 'Chinese', 'Restaurants']"
k2zE7IsSi2lVpnrjqZXAdw,"['Gluten-Free', 'Asian Fusion', 'Chinese', 'Restaurants']"
rXLHlQP_ogFsa1JhHLhkEg,"['Thai', 'Sushi Bars', 'Chinese', 'Restaurants']"
--qeSYxyn62mMjWvznNTdg,"['Fast Food', 'Chinese', 'Restaurants']"
gI4jThFNwy73SzaNvi-1dw,"['Asian Fusion', 'Chinese', 'Restaurants']"
6IL3hY_sCUitx91eOrqoSQ,"['Chinese', 'Restaurants']"
LfFlu4K982Gk6-ExDacgMw,"['Chinese', 'Restaurants']"
2c-wfOepOw-m2U1Bb4bAIA,"['Thai', 'Vietnamese', 'Chinese', 'Restaurants']"
LGLLC15YCxb4CByzzXMQMA,"['Chinese', 'Restaurants']"
KbGpMcBhlx4Cy9ccf9YjCw,"['Fast Food', 'Asian Fusion', 'Chinese', 'Restaurants']"
YcWNdxo46w4Dg4j3csdk6Q,"['Chinese', 'Restaurants']"
JqFd6WfrCqDvvgPmfY5njw,"['Chinese', 'Restaurants']"
rf63Be15GKo8Xa1pHBjsBg,"['Hot Pot', 'Do-It-Yourself Food', 'Food', 'Chinese', 'Restaurants']"
SQ0j7bgSTazkVQlF5AnqyQ,"['Chinese', 'Restaurants']"
f_wqInKORIYGIJDP-AS8Ng,"['Chinese', 'Restaurants']"
KuXGis6uUuhpSKmD1s5Zvw,"['Dim Sum', 'Chinese', 'Restaurants']"
kktQXaj7zI_PGkH6SR2YPg,"['Buffets', 'Chinese', 'Restaurants']"
pWB-Flp4QHo7dJkMm7_Sjw,"['Thai', 'Chinese', 'Restaurants']"
DL3coobcfFjXV_F2zV7sLw,"['Chinese', 'Restaurants']"
UxMnY3Dxafucv5cXHyfBSA,"['Buffets', 'Chinese', 'Restaurants']"
9UrMG4cn2nfIQsJlH8e2PQ,"['Gluten-Free', 'Asian Fusion', 'Chinese', 'Restaurants']"
K26GoGFV6LidUgW7wcacBQ,"['Japanese', 'Chinese', 'Restaurants']"
_v51zHEOkXseN6mtNCddbQ,"['Chinese', 'Restaurants']"
5YgXxBUzhf3qh8F8wYSqsA,"['Buffets', 'Chinese', 'Restaurants']"
Xh7lpLo9TxodWgV5VdWeiA,"['Chinese', 'Restaurants']"
r4VFTmgE_h6n3JnjG-Q-KQ,"['Bars', 'Chinese', 'Szechuan', 'Nightlife', 'Karaoke', 'Restaurants']"
E9ZsPtGovfEPHlMHkDdlQA,"['Korean', 'Asian Fusion', 'Dim Sum', 'Chinese', 'Restaurants']"
EK0Jlhk11QsDDK5od4_lLQ,"['American (New)', 'Chinese', 'Restaurants']"
cKQn19-p4FtLIR4IaP6xuw,"['Asian Fusion', 'Chinese', 'Restaurants']"
iyDeQ21CQO2-eKbbiHzrWg,"['Fast Food', 'Chinese', 'Restaurants']"
wJustkLzYas7ljciGMC-zA,"['Fondue', 'Chinese', 'Restaurants']"
_0LwsuDU1lG2lwFBrCgzCA,"['Thai', 'Asian Fusion', 'Chinese', 'Restaurants']"
BxPqfu5QC1SJsYX-9Iseaw,"['Food', 'Street Vendors', 'Chinese', 'Restaurants']"
gFGldPLVQdqbHQodU5TeUw,"['Gluten-Free', 'Asian Fusion', 'Chinese', 'Restaurants']"
Dq6g0ubf267tWRU4BSk44A,"['Noodles', 'Chinese', 'Restaurants']"
5Va2HCh_R2fhdGI15K32XA,"['Chinese', 'Restaurants']"
rzH3NU9teI9WVKt-hBsJjg,"['Taiwanese', 'Chinese', 'Restaurants']"
UQouZ1z2P3lvG9IZMxubpA,"['Chinese', 'Restaurants']"
Kxp8cIMt3-vxwtCSsL9QKQ,"['American (New)', 'Asian Fusion', 'Chinese', 'Restaurants']"
dyZjJa644Es2HvJT96_6xQ,"['Chinese', 'Restaurants']"
SFd4OOIb0tfAXZ-PtXbFwQ,"['Thai', 'Japanese', 'Chinese', 'Restaurants']"
LeTMz4hrsdHhiS-vNBj82A,"['Chinese', 'Restaurants']"
i2JU7ud2xNz1f0TuAxri4w,"['Dim Sum', 'Chinese', 'Restaurants']"
DlD95KM4cCjGGi_O_aX0tw,"['Food', 'Ethnic Food', 'Specialty Food', 'Chinese', 'Restaurants']"
4aF5k-3YNNj8l2xOrEe9vA,"['Thai', 'Vietnamese', 'Chinese', 'Restaurants']"
4M8E3KWiHZB6gNxMV_btAQ,"['Sushi Bars', 'Buffets', 'Chinese', 'Restaurants']"
0tqq8EyKp2X5GVB6W79rCg,"['Asian Fusion', 'Chinese', 'Restaurants']"
CB8p5dGrqZxc06vs_xDOHw,"['Vietnamese', 'Chinese', 'Restaurants']"
xCmGSQ4evtMcLUe8LJRYnw,"['Chinese', 'Restaurants']"
cC08otMSMx_S4eUbmElKew,"['Chinese', 'Restaurants']"
XMRj865sZBPWCI7tx0uBWw,"['Chinese', 'Restaurants']"
ur6xZQjZ6PVrR12Za-DrqA,"['Chinese', 'Restaurants']"
u3bzqkrO2gu_RWuQqS2-OQ,"['Fast Food', 'Chinese', 'Restaurants']"
UETunq2HsmwW9pbsSGWZ6g,"['Soup', 'Asian Fusion', 'Chinese', 'Restaurants']"
GSiHJG8LqTn5ZQAY1r9q9w,"['Chinese', 'Restaurants']"
1pKk2TSQmBqcTAIuSQXbAQ,"['Japanese', 'Chinese', 'Restaurants']"
Lo99HExahVguUC512OvMwg,"['Food', 'Desserts', 'Diners', 'Chinese', 'Restaurants']"
ZEpSYuDb9BgYD-XF1mc_jg,"['Buffets', 'Chinese', 'Restaurants']"
Ul1mS4EA2Q8DGyLB7gQXJA,"['Chinese', 'Restaurants']"
IrTmU9AVHZ8fyYS7qu9QWQ,"['Chinese', 'Restaurants']"
1ZHozTtv_UhEMscM1tBElw,"['Chinese', 'Restaurants']"
4nnMgD9X62YrMqkQKhx-Pg,"['Thai', 'Asian Fusion', 'Chinese', 'Restaurants']"
R03KiuX4bCGpKEvCzNeCXg,"['Chinese', 'Restaurants']"
l9MztjVGVa_jakvMQDjCZw,"['Thai', 'Chinese', 'Restaurants']"
tucpCgt7MmgItc0Ka9SThw,"['Chinese', 'Restaurants']"
KRqtYdnDpwqYfWkFhZYjow,"['Fast Food', 'Chinese', 'Restaurants']"
zHrdyHYm5GtJ79sAoUyB0Q,"['Chinese', 'Restaurants']"
DpnwA0gj4-9YS7LWduofcg,"['Chinese', 'Restaurants']"
c1JU5rNa8CYupUNklOpjHQ,"['Vegetarian', 'Asian Fusion', 'Chinese', 'Restaurants']"
5FPsw0_mNhylWujmJHseCQ,"['Thai', 'Chinese', 'Restaurants']"
CNdV0G_B5bKSpDrQa55rhA,"['Chinese', 'Restaurants']"
a4wVLeSHNSHyGGbanNuCUg,"['Chinese', 'Restaurants']"
CBQ7xI258km_PP6OTZ0-wg,"['Soul Food', 'Southern', 'Chinese', 'Restaurants']"
F3SEkW6v2LJ5y6Ldo5pPaw,"['Chinese', 'Restaurants']"
